entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
indication,chronic inflammation,disease,primary,3,3,chronic inflammation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:32:25Z,2026-01-23T12:49:00Z
target,SYNTHASE,protein,primary,3,3,SYNTHASE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:47Z,2026-01-23T12:48:49Z
neural_cell,motor neuron,cell_type,primary,3,1,motor neuron,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:11Z,2026-01-23T12:23:15Z
assay,accuracy,assay,primary,3,3,accuracy,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:30:24Z,2026-01-23T12:48:23Z
neural_cell,oligodendrocyte,cell_type,primary,3,3,oligodendrocyte,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:33:18Z,2026-01-23T12:41:34Z
assay,half-life,metric,primary,3,3,half-life,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:40:26Z,2026-01-23T12:47:43Z
indication,DIABETES,disease,primary,3,2,diabetes,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:17Z,2026-01-23T12:48:38Z
pathway,protein synthesis,pathway,primary,3,3,protein synthesis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:27Z,2026-01-23T12:50:38Z
pathway,cGMP,pathway,primary,3,3,cGMP,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:20Z,2026-01-23T12:39:43Z
pathway,PKA,pathway,primary,3,2,PKA,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:42:28Z,2026-01-23T12:42:45Z
compound,VASOPRESSIN,drug,primary,3,1,VASOPRESSIN,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:27:45Z,2026-01-23T12:28:03Z
pathway,signal transduction,pathway,primary,3,3,signal transduction,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:30:22Z,2026-01-23T12:36:25Z
pathway,inflammatory response,pathway,primary,3,2,inflammatory response,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:48:48Z,2026-01-23T12:49:32Z
model,URINE,biofluid,primary,3,2,URINE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:37:05Z,2026-01-23T12:42:53Z
model,MEM,unknown,primary,3,3,MEM,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:29:51Z,2026-01-23T12:46:27Z
