entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
angiogenesis,pathway,pathway,8,20.62,strong,9.81,promising
microglial,neural_cell,cell_type,77,89.84,exploratory,89.64,exploratory
nrf2,target,protein,7,8.55,promising,7.55,exploratory
multiple sclerosis,indication,disease,13,31.15,strong,30.46,strong
oxidase,target,protein,5,7.55,promising,7.15,promising
p38,target,protein,2,3.40,stalled,2.90,stalled
p38,pathway,pathway,2,5.80,exploratory,2.90,stalled
cgmp,pathway,pathway,13,34.18,strong,16.82,promising
bace1,target,protein,2,3.17,stalled,2.67,stalled
app,target,protein,12,14.71,promising,14.12,exploratory
alicapistat,peptide,,1,2.00,stalled,1.50,deprioritized
cysteine protease,target,protein,2,4.00,exploratory,3.00,stalled
calpain,target,protein,1,2.00,stalled,1.50,deprioritized
aggregation,pathway,pathway,13,33.74,strong,16.72,promising
alzheimer's disease,indication,disease,4,9.75,strong,8.50,strong
jak-stat,pathway,pathway,2,6.70,promising,2.35,stalled
npc,neural_cell,cell_type,1,1.00,deprioritized,1.00,deprioritized
fibroblasts,model,unknown,26,59.43,strong,29.58,exploratory
hipsc,model,unknown,33,75.53,strong,38.23,exploratory
motor neuron,neural_cell,cell_type,3,4.90,exploratory,3.07,stalled
fbs,model,unknown,5,11.43,strong,6.51,promising
casp1,target,protein,2,2.70,stalled,2.70,stalled
whitetriangles,peptide,,1,1.00,deprioritized,1.00,deprioritized
cortical neurons,model,unknown,3,7.50,promising,3.00,stalled
sec,assay,assay,3,6.67,promising,1.50,deprioritized
matrix metalloproteinase,target,protein,1,1.00,deprioritized,1.00,deprioritized
hela,model,unknown,1,1.60,deprioritized,0.80,deprioritized
autoimmune disease,indication,disease,1,2.50,stalled,1.00,deprioritized
second messenger,pathway,pathway,1,2.00,stalled,1.00,deprioritized
optimization,assay,assay,12,28.12,strong,10.13,exploratory
myocytes,model,unknown,2,2.50,stalled,2.00,stalled
dynamic range,assay,assay,2,4.00,exploratory,1.00,deprioritized
anxiety,indication,disease,7,14.43,strong,14.29,strong
chronic inflammation,indication,disease,3,11.10,strong,10.60,strong
migraine,indication,disease,10,25.14,strong,25.34,strong
ferroptosis,pathway,pathway,19,37.70,strong,18.25,exploratory
ex vivo,model,unknown,7,16.11,strong,8.56,promising
purkinje cell,neural_cell,cell_type,2,2.60,stalled,2.60,stalled
parkinson's disease,indication,disease,9,24.22,strong,24.00,strong
il-1β,target,protein,18,20.62,exploratory,19.34,exploratory
malaria,indication,disease,4,11.04,strong,11.54,strong
cox-2,target,protein,5,7.40,promising,5.20,exploratory
stat3,pathway,pathway,24,54.64,strong,26.80,exploratory
splenocytes,model,unknown,2,5.80,exploratory,1.90,deprioritized
transwell,model,unknown,2,5.13,exploratory,1.07,deprioritized
migration assay,assay,assay,1,2.00,stalled,-0.50,deprioritized
gabaergic neuron,neural_cell,cell_type,1,1.00,deprioritized,1.00,deprioritized
bipolar disorder,indication,disease,2,5.00,exploratory,4.00,exploratory
pparγ,target,protein,2,3.00,stalled,2.00,stalled
