entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
target,MMP9,protein,primary,2,1,MMP9,,All Domains,,2026-01-23T12:44:46Z,2026-01-23T12:44:48Z
pathway,hydrolysis,pathway,primary,2,2,hydrolysis,,All Domains,,2026-01-23T12:29:55Z,2026-01-23T12:42:36Z
pathway,JAK-STAT,pathway,primary,2,1,JAK-STAT,,All Domains,,2026-01-23T12:23:00Z,2026-01-23T12:23:00Z
target,UBIQUITIN LIGASE,protein,primary,2,1,UBIQUITIN LIGASE,,All Domains,,2026-01-23T13:52:24Z,2026-01-24T16:32:22Z
target,LC3,protein,primary,2,2,LC3,,All Domains,,2026-01-23T12:36:13Z,2026-01-23T13:54:52Z
model,Conditioned medium,unknown,primary,2,1,Conditioned medium,,All Domains,,2026-01-23T12:41:30Z,2026-01-23T12:41:34Z
target,HSP90,protein,primary,2,2,HSP90,,All Domains,,2026-01-23T12:36:13Z,2026-01-23T13:54:59Z
compound,OXYTOCIN,drug,primary,2,1,OXYTOCIN,,All Domains,,2026-01-23T12:27:50Z,2026-01-23T12:27:52Z
target,LIGASE,protein,primary,2,1,LIGASE,,All Domains,,2026-01-23T13:52:24Z,2026-01-24T16:32:22Z
stem_cell,reprogramming,,primary,2,2,reprogramming,,All Domains,,2026-01-23T12:36:12Z,2026-01-23T12:39:02Z
assay,dynamic range,assay,primary,2,2,dynamic range,,All Domains,,2026-01-23T12:30:34Z,2026-01-23T12:47:53Z
model,Bovine serum albumin,unknown,primary,2,2,Bovine serum albumin,,All Domains,,2026-01-23T12:43:15Z,2026-01-23T12:47:38Z
assay,spectroscopy,assay,primary,2,2,spectroscopy,,All Domains,,2026-01-23T12:39:58Z,2026-01-23T12:40:28Z
pathway,lipid metabolism,pathway,primary,2,2,lipid metabolism,,All Domains,,2026-01-24T16:33:25Z,2026-01-24T16:34:49Z
target,CYSTEINE PROTEASE,protein,primary,2,1,CYSTEINE PROTEASE,,All Domains,,2026-01-23T12:23:21Z,2026-01-23T12:23:24Z
